stream,variant,method_label,block,factor,level,seed_index,seed,bias_ratio_coldstart,bias_ratio_warm,block_rate,budget_rmse,calib_w_explore_final,calib_w_ledger_final,calib_w_review_final,cohort_gap_days_mean,concept_dollars_allowed,concept_for,cost_per_1k,covariate_dollars_allowed,covariate_for,coverage_max_dev,coverage_mean_abs_dev,coverage_mean_dev,ess_mean,ess_median,ess_p05,exh_flag_balanced_acc,exh_flag_fn,exh_flag_fp,exh_flag_n_scored,exh_flag_precision,exh_flag_recall,exh_flag_specificity,exh_flag_tn,exh_flag_tp,exh_oracle_infeasible_rate,explore_rate,flag_balanced_acc,flag_delay_concept,flag_delay_covariate,flag_delay_prior,flag_false_infeasible_rate,flag_fn,flag_fp,flag_missed_infeasible_rate,flag_n_scored,flag_precision,flag_recall,flag_specificity,flag_tn,flag_tp,flag_undetermined,for_overall,for_ratio_to_alpha,frac_blocks_demand_over_budget,frac_blocks_over_alpha,fraud_dollars_allowed,fraud_dollars_total,gap_decay_mean,gap_decay_p90,gap_decay_rel,gap_overlap_mean,gap_overlap_p90,gap_overlap_rel,infeasible_rate,lag_ratio_warm,mean_estimate_warm,mean_realised_warm,mean_true_warm,mono_violation_mean,n_eval,n_explore,n_pos_eval,n_updates_warm,oracle_agreement,oracle_infeasible_rate,overflow_rate,pd_brier_mean,pd_clip_share_mean,pd_mae_mean,post_concept_max_dev,post_concept_mean_dev,post_concept_recovery_days,post_covariate_max_dev,post_covariate_mean_dev,post_covariate_recovery_days,post_prior_max_dev,post_prior_mean_dev,post_prior_recovery_days,prior_dollars_allowed,prior_for,quiet_dev,quiet_dollars_allowed,quiet_for,r_overlap_mean,r_trail_mean,ratio_realised_over_estimate,review_demand_max_block,review_demand_overshoot,review_demand_rate,review_served_rate,risk_when_flagged,risk_when_not_flagged,trim_fraud_share_mean,trim_share_mean,update_us_p50,update_us_p99,w_max_norm_mean,w_top1_share_mean
synb2b,M0,STATIC,methods,,,0,11,,,0.000375,0.0,,,,,9534815.83843858,0.040329218106995884,224743.7018221297,784486.5230613535,0.009166891345376111,0.13053006636038797,0.015960664805698032,0.01209121206502117,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.02448641061630726,1.974710533573166,1.0,0.525,24459510.28372411,30196598.358537275,,,,,,,0.0,,,,,,80000.0,0.0,2273.0,0.0,,,0.01915,,,,0.01974285714285714,0.01974285714285714,,-0.003211638591117916,-0.003211638591117916,18.320298964120383,0.13053006636038797,0.13053006636038797,,4968737.797330172,0.055039414414414414,0.004726922356564628,9171470.124894004,0.017126922356564628,,,,0.109,0.019149999999999997,0.03915,0.02,,,,,,,,
synb2b,M0,STATIC,methods,,,1,23,,,0.0014875,0.0,,,,,8524987.427860243,0.039977192093259,224912.35097140752,859426.9725772883,0.009436505796710704,0.13849514066496163,0.01639584945924659,0.012554721203848051,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.024923033686335125,2.009922071478639,1.0,0.525,24469944.736096296,30448876.723301068,,,,,,,0.0,,,,,,80000.0,0.0,2286.0,0.0,,,0.0459875,,,,0.027416232771822355,0.027416232771822355,,-0.0027011740684022463,-0.0027011740684022463,18.320298964120383,0.13849514066496163,0.13849514066496163,,5876893.967196072,0.059305280994069474,0.004892747463383128,9208636.368462691,0.017292747463383128,,,,0.1305,0.0459875,0.0659875,0.02,,,,,,,,
synb2b,M0,STATIC,methods,,,2,37,,,0.0002125,0.0007664854858377944,,,,,8322300.85461589,0.0392504431501646,225498.54512874136,851396.2679188998,0.00983960102439682,0.13111378958120531,0.016174840282605945,0.0123779829184863,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.024770724116379036,1.9976390416434706,0.9,0.525,24537969.20983617,30165342.868388563,,,,,,,0.0,,,,,,80000.0,0.0,2265.0,0.0,,,0.01475,,,,0.026885714285714284,0.026885714285714284,,-0.0027061224489795914,-0.0027061224489795914,18.320298964120383,0.13111378958120531,0.13111378958120531,,6318007.709537303,0.05909666525960321,0.004843172410924143,9046264.377764076,0.017243172410924143,,,,0.0755,0.014549999999999997,0.03455,0.0198,,,,,,,,
synb2b,M0,STATIC,methods,,,3,53,,,0.0007,0.0,,,,,7868980.729893919,0.037424012158054715,228599.94864930373,758837.6275671808,0.009715288085278639,0.13074928425357873,0.016101708917474526,0.012727742944096334,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.025119983661799246,2.025805134016068,1.0,0.55,24874630.385016777,29650666.683683693,,,,,,,0.0,,,,,,80000.0,0.0,2261.0,0.0,,,0.037575,,,,0.01974285714285714,0.01974285714285714,,-0.0006533197139938704,-0.0006533197139938704,18.320298964120383,0.13074928425357873,0.13074928425357873,,6246197.251756448,0.060623149584096994,0.005810955710955712,10000614.775799228,0.018210955710955712,,,,0.1245,0.037575,0.057575,0.02,,,,,,,,
synb2b,M0,STATIC,methods,,,4,71,,,0.0010125,0.0,,,,,8144487.692787577,0.03787207093096897,218311.96196816754,774650.0559054953,0.009034519956850054,0.1357103166496425,0.015937242171470557,0.012027600738687019,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.024412977693790777,1.9687885236928047,1.0,0.55,23746015.929318216,29551608.99642975,,,,,,,0.0,,,,,,80000.0,0.0,2265.0,0.0,,,0.03415,,,,0.02280408163265306,0.02280408163265306,,-0.0037221031138335876,-0.0037221031138335876,18.320298964120383,0.1357103166496425,0.1357103166496425,,5639603.032115057,0.05865764241398759,0.004904929093521583,9187275.148510087,0.017304929093521583,,,,0.1305,0.03415,0.05415,0.02,,,,,,,,
synb2b,M0,STATIC,methods,,,5,73,,,0.0006875,0.0002500000000000002,,,,,8660935.80428535,0.04052428291015007,228118.78790099206,741568.9079439397,0.009029649595687332,0.13111378958120531,0.01651412981990551,0.01267004512947617,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.02505456355537403,2.020529318981777,0.95,0.525,24823945.669967942,30296075.86337279,,,,,,,0.0,,,,,,80000.0,0.0,2292.0,0.0,,,0.0273625,,,,0.024353445635528333,0.024353445635528333,,-0.00423673469387755,-0.00423673469387755,18.320298964120383,0.13111378958120531,0.13111378958120531,,5893308.410583712,0.05835917676910065,0.0051263311269306045,9528132.547154943,0.017526331126930604,,,,0.0955,0.0273125,0.0473125,0.01995,,,,,,,,
synb2b,M0,STATIC,methods,,,6,79,,,0.0004375,0.00017677669529663704,,,,,8409980.595712675,0.039691080584921185,217029.62308806577,762699.3846211099,0.0093042071197411,0.13461378254211334,0.015479980271606153,0.011558973496185596,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.023951102490812577,1.9315405234526273,0.95,0.525,23612288.749750927,29850508.689440854,,,,,,,0.0,,,,,,80000.0,0.0,2276.0,0.0,,,0.01985,,,,0.01974285714285714,0.01974285714285714,,-0.0026962206332992837,-0.0026962206332992837,18.320298964120383,0.13461378254211334,0.13461378254211334,,5476643.120683601,0.05625087891998312,0.003855932062276248,8962965.648733541,0.016255932062276247,,,,0.12,0.0198125,0.0398125,0.0199625,,,,,,,,
synb2b,M0,STATIC,methods,,,7,83,,,0.0009875,0.0,,,,,8800514.063175654,0.040217873202862756,231255.4046220345,865198.6427323937,0.010113268608414239,0.13476402657128259,0.016279112483174058,0.01257142725120538,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.024948608929916623,2.0119845911223084,1.0,0.55,25174464.368311286,30499853.46126175,,,,,,,0.0,,,,,,80000.0,0.0,2287.0,0.0,,,0.0388625,,,,0.027926697294538026,0.027926697294538026,,-0.003211638591117916,-0.003211638591117916,18.320298964120383,0.13476402657128259,0.13476402657128259,,6188833.4405469885,0.05991822924009587,0.004654328134435582,9319918.221856248,0.01705432813443558,,,,0.1455,0.038862499999999994,0.0588625,0.02,,,,,,,,
synb2b,M0,STATIC,methods,,,8,89,,,0.00065,0.0,,,,,8697165.576137107,0.04078530715642812,234488.4758358283,731964.1246470305,0.00889727689404152,0.1526485436893204,0.017478851204940762,0.013721268152407078,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.026114259457803646,2.105988665951907,1.0,0.55,25510337.570895977,29711598.483677015,,,,,,,0.0,,,,,,80000.0,0.0,2316.0,0.0,,,0.04185,,,,0.02637551020408163,0.02637551020408163,,-0.002195918367346939,-0.002195918367346939,18.320298964120383,0.1526485436893204,0.1526485436893204,,6023718.419645646,0.06597124330420073,0.005666020064105234,10057489.450466193,0.018066020064105234,,,,0.088,0.04185,0.06185,0.02,,,,,,,,
synb2b,M0,STATIC,methods,,,9,97,,,0.0006625,0.0,,,,,8924341.991904646,0.04117572532623844,248393.9714969297,771894.7737204087,0.009698275862068966,0.14388192032686414,0.017474944283438164,0.014285544198921168,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.026676196918835438,2.1513062031318904,1.0,0.575,27044394.820296593,30281677.11177147,,,,,,,0.0,,,,,,80000.0,0.0,2296.0,0.0,,,0.0761875,,,,0.024844897959183675,0.024844897959183675,,-0.002190709545686575,-0.002190709545686575,18.320298964120383,0.14388192032686414,0.14388192032686414,,6771141.006916478,0.06400676723530241,0.006624227791191409,10577017.047755063,0.01902422779119141,,,,0.157,0.07618749999999999,0.0961875,0.02,,,,,,,,
